name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Fortuner  2022 Legender ,176000000,Faisalabad,2022,40391,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-faisalabad-9181609
Toyota Fortuner  2020 2.8 Sigma 4,135000000,Lahore,2020,86955,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2020-for-sale-in-lahore-9195387
Toyota Fortuner  2022 Legender ,175000000,Lahore,2022,20599,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-lahore-9153876
Toyota Yaris Hatchback  2021 X,5000000,Lahore,2021,15721,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-lahore-9150592
Toyota Raize  2019 Z,63500000,Karachi,2019,38631,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-raize-2019-for-sale-in-karachi-9201778
Toyota C-HR  2017 G-LED,7500000,Karachi,2017,60554,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2017-for-sale-in-karachi-9214058
Toyota Yaris  2023 AERO CVT 1.5,54900000,Lahore,2023,11192,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2023-for-sale-in-lahore-9161108
Toyota Corolla  2019 XLi Automatic,4000000,Karachi,2019,48000,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-karachi-9157321
Toyota Hilux  2023 Revo V Automatic 2.8,166000000,Lahore,2023,22302,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2023-for-sale-in-lahore-9178148
Toyota Prius  2021 S,115000000,Lahore,2021,24106,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2021-for-sale-in-lahore-9274178
